Name: bslfdgz Surname:  ucjceys Party: SOCIAL 
Name: bqwntrgl Surname:  tihbucng Party: KKE 
Name: faenf Surname:  gqqcr Party: ELLHNVN_SYNELEFSIS 
Name: whmxmrmgqigj Surname:  uzsatanjeudt Party: ELLHNVN_SYNELEFSIS 
Name: mahtko Surname:  gqqyxj Party: NIKH 
Name: zwengoxzjc Surname:  xfkiztbawl Party: EAN 
Name: sop Surname:  hll Party: ELLHNVN_SYNELEFSIS 
Name: wmtzltnphi Surname:  jchthujida Party: MERA25 
Name: wwqvvdzazq Surname:  djuehbrrfu Party: PASOK 
Name: dmujeukgdimr Surname:  qdlnxdaqclvr Party: PLEFSI_ELEFTHERIAS 
Name: ktpbu Surname:  otbzs Party: NIKH 
Name: flm Surname:  gfc Party: ELLHNIKH_LYSH 
Name: evveymamlh Surname:  yegnmwdudx Party: SOCIAL 
Name: cijt Surname:  hwxc Party: KKE 
Name: czo Surname:  rfy Party: SYRIZA 
Name: smjhulxyjgu Surname:  ngxrgryugup Party: ELLHNVN_SYNELEFSIS 
